home_team,away_team,home_goals,away_goals,result,season
Liverpool,Queens Park Rangers,1,0,H,2011-2012
Manchester United,Wolverhampton Wanderers,4,1,H,2011-2012
Norwich City,Newcastle United,4,2,H,2011-2012
Swansea City,Fulham,2,0,H,2011-2012
West Bromwich Albion,Wigan Athletic,1,2,A,2011-2012
Sunderland,Blackburn Rovers,2,1,H,2011-2012
Stoke City,Tottenham Hotspur,2,1,H,2011-2012
Chelsea,Manchester City,2,1,H,2011-2012
Blackburn Rovers,West Bromwich Albion,1,2,A,2011-2012
Everton,Norwich City,1,1,D,2011-2012
Fulham,Bolton Wanderers,2,0,H,2011-2012
Newcastle United,Swansea City,0,0,D,2011-2012
Wolverhampton Wanderers,Stoke City,1,2,A,2011-2012
Wigan Athletic,Chelsea,1,1,D,2011-2012
Queens Park Rangers,Manchester United,0,2,A,2011-2012
Aston Villa,Liverpool,0,2,A,2011-2012
Tottenham Hotspur,Sunderland,1,0,H,2011-2012
Manchester City,Arsenal,1,0,H,2011-2012
Wolverhampton Wanderers,Norwich City,2,2,D,2011-2012
Blackburn Rovers,Bolton Wanderers,1,2,A,2011-2012
Aston Villa,Arsenal,1,2,A,2011-2012
Manchester City,Stoke City,3,0,H,2011-2012
Newcastle United,West Bromwich Albion,2,3,A,2011-2012
Everton,Swansea City,1,0,H,2011-2012
Fulham,Manchester United,0,5,A,2011-2012
Queens Park Rangers,Sunderland,2,3,A,2011-2012
Wigan Athletic,Liverpool,0,0,D,2011-2012
Tottenham Hotspur,Chelsea,1,1,D,2011-2012
Chelsea,Fulham,1,1,D,2011-2012
Bolton Wanderers,Newcastle United,0,2,A,2011-2012
Liverpool,Blackburn Rovers,1,1,D,2011-2012
Manchester United,Wigan Athletic,5,0,H,2011-2012
Sunderland,Everton,1,1,D,2011-2012
West Bromwich Albion,Manchester City,0,0,D,2011-2012
Stoke City,Aston Villa,0,0,D,2011-2012
Arsenal,Wolverhampton Wanderers,1,1,D,2011-2012
Swansea City,Queens Park Rangers,1,1,D,2011-2012
Norwich City,Tottenham Hotspur,0,2,A,2011-2012
Liverpool,Newcastle United,3,1,H,2011-2012
Manchester United,Blackburn Rovers,2,3,A,2011-2012
Arsenal,Queens Park Rangers,1,0,H,2011-2012
Bolton Wanderers,Wolverhampton Wanderers,1,1,D,2011-2012
Chelsea,Aston Villa,1,3,A,2011-2012
Norwich City,Fulham,1,1,D,2011-2012
Stoke City,Wigan Athletic,2,2,D,2011-2012
Swansea City,Tottenham Hotspur,1,1,D,2011-2012
West Bromwich Albion,Everton,0,1,A,2011-2012
Sunderland,Manchester City,1,0,H,2011-2012
Aston Villa,Swansea City,0,2,A,2011-2012
Blackburn Rovers,Stoke City,1,2,A,2011-2012
Queens Park Rangers,Norwich City,1,2,A,2011-2012
Wolverhampton Wanderers,Chelsea,1,2,A,2011-2012
Fulham,Arsenal,2,1,H,2011-2012
Tottenham Hotspur,West Bromwich Albion,1,0,H,2011-2012
Wigan Athletic,Sunderland,1,4,A,2011-2012
Manchester City,Liverpool,3,0,H,2011-2012
Everton,Bolton Wanderers,1,2,A,2011-2012
Newcastle United,Manchester United,3,0,H,2011-2012
Tottenham Hotspur,Everton,2,0,H,2011-2012
Aston Villa,Everton,1,1,D,2011-2012
Blackburn Rovers,Fulham,3,1,H,2011-2012
Chelsea,Sunderland,1,0,H,2011-2012
Liverpool,Stoke City,0,0,D,2011-2012
Manchester United,Bolton Wanderers,3,0,H,2011-2012
Tottenham Hotspur,Wolverhampton Wanderers,1,1,D,2011-2012
West Bromwich Albion,Norwich City,1,2,A,2011-2012
Newcastle United,Queens Park Rangers,1,0,H,2011-2012
Swansea City,Arsenal,3,2,H,2011-2012
Wigan Athletic,Manchester City,0,1,A,2011-2012
Norwich City,Chelsea,0,0,D,2011-2012
Everton,Blackburn Rovers,1,1,D,2011-2012
Fulham,Newcastle United,5,2,H,2011-2012
Queens Park Rangers,Wigan Athletic,3,1,H,2011-2012
Stoke City,West Bromwich Albion,1,2,A,2011-2012
Sunderland,Swansea City,2,0,H,2011-2012
Wolverhampton Wanderers,Aston Villa,2,3,A,2011-2012
Bolton Wanderers,Liverpool,3,1,H,2011-2012
Manchester City,Tottenham Hotspur,3,2,H,2011-2012
Arsenal,Manchester United,1,2,A,2011-2012
Swansea City,Chelsea,1,1,D,2011-2012
Tottenham Hotspur,Wigan Athletic,3,1,H,2011-2012
Wolverhampton Wanderers,Liverpool,0,3,A,2011-2012
Everton,Manchester City,1,0,H,2011-2012
Manchester United,Stoke City,2,0,H,2011-2012
Aston Villa,Queens Park Rangers,2,2,D,2011-2012
Blackburn Rovers,Newcastle United,0,2,A,2011-2012
Bolton Wanderers,Arsenal,0,0,D,2011-2012
Fulham,West Bromwich Albion,1,1,D,2011-2012
Sunderland,Norwich City,3,0,H,2011-2012
Arsenal,Blackburn Rovers,7,1,H,2011-2012
Norwich City,Bolton Wanderers,2,0,H,2011-2012
Queens Park Rangers,Wolverhampton Wanderers,1,2,A,2011-2012
Stoke City,Sunderland,0,1,A,2011-2012
West Bromwich Albion,Swansea City,1,2,A,2011-2012
Wigan Athletic,Everton,1,1,D,2011-2012
Manchester City,Fulham,3,0,H,2011-2012
Newcastle United,Aston Villa,2,1,H,2011-2012
Chelsea,Manchester United,3,3,D,2011-2012
Liverpool,Tottenham Hotspur,0,0,D,2011-2012
Manchester United,Liverpool,2,1,H,2011-2012
Blackburn Rovers,Queens Park Rangers,3,2,H,2011-2012
Bolton Wanderers,Wigan Athletic,1,2,A,2011-2012
Everton,Chelsea,2,0,H,2011-2012
Fulham,Stoke City,2,1,H,2011-2012
Sunderland,Arsenal,1,2,A,2011-2012
Swansea City,Norwich City,2,3,A,2011-2012
Tottenham Hotspur,Newcastle United,5,0,H,2011-2012
Wolverhampton Wanderers,West Bromwich Albion,1,5,A,2011-2012
Aston Villa,Manchester City,0,1,A,2011-2012
Chelsea,Bolton Wanderers,3,0,H,2011-2012
Newcastle United,Wolverhampton Wanderers,2,2,D,2011-2012
Queens Park Rangers,Fulham,0,1,A,2011-2012
West Bromwich Albion,Sunderland,4,0,H,2011-2012
Wigan Athletic,Aston Villa,0,0,D,2011-2012
Manchester City,Blackburn Rovers,3,0,H,2011-2012
Arsenal,Tottenham Hotspur,5,2,H,2011-2012
Norwich City,Manchester United,1,2,A,2011-2012
Stoke City,Swansea City,2,0,H,2011-2012
Liverpool,Arsenal,1,2,A,2011-2012
Blackburn Rovers,Aston Villa,1,1,D,2011-2012
Manchester City,Bolton Wanderers,2,0,H,2011-2012
Queens Park Rangers,Everton,1,1,D,2011-2012
Stoke City,Norwich City,1,0,H,2011-2012
West Bromwich Albion,Chelsea,1,0,H,2011-2012
Wigan Athletic,Swansea City,0,2,A,2011-2012
Newcastle United,Sunderland,1,1,D,2011-2012
Fulham,Wolverhampton Wanderers,5,0,H,2011-2012
Tottenham Hotspur,Manchester United,1,3,A,2011-2012
Bolton Wanderers,Queens Park Rangers,2,1,H,2011-2012
Aston Villa,Fulham,1,0,H,2011-2012
Chelsea,Stoke City,1,0,H,2011-2012
Sunderland,Liverpool,1,0,H,2011-2012
Wolverhampton Wanderers,Blackburn Rovers,0,2,A,2011-2012
Everton,Tottenham Hotspur,1,0,H,2011-2012
Manchester United,West Bromwich Albion,2,0,H,2011-2012
Swansea City,Manchester City,1,0,H,2011-2012
Norwich City,Wigan Athletic,1,1,D,2011-2012
Arsenal,Newcastle United,2,1,H,2011-2012
Liverpool,Everton,3,0,H,2011-2012
Fulham,Swansea City,0,3,A,2011-2012
Wigan Athletic,West Bromwich Albion,1,1,D,2011-2012
Wolverhampton Wanderers,Manchester United,0,5,A,2011-2012
Newcastle United,Norwich City,1,0,H,2011-2012
Blackburn Rovers,Sunderland,2,0,H,2011-2012
Manchester City,Chelsea,2,1,H,2011-2012
Tottenham Hotspur,Stoke City,1,1,D,2011-2012
Everton,Arsenal,0,1,A,2011-2012
Queens Park Rangers,Liverpool,3,2,H,2011-2012
Chelsea,Tottenham Hotspur,0,0,D,2011-2012
Arsenal,Aston Villa,3,0,H,2011-2012
Bolton Wanderers,Blackburn Rovers,2,1,H,2011-2012
Liverpool,Wigan Athletic,1,2,A,2011-2012
Norwich City,Wolverhampton Wanderers,2,1,H,2011-2012
Sunderland,Queens Park Rangers,3,1,H,2011-2012
Swansea City,Everton,0,2,A,2011-2012
Stoke City,Manchester City,1,1,D,2011-2012
West Bromwich Albion,Newcastle United,1,3,A,2011-2012
Manchester United,Fulham,1,0,H,2011-2012
Aston Villa,Chelsea,2,4,A,2011-2012
Everton,West Bromwich Albion,2,0,H,2011-2012
Fulham,Norwich City,2,1,H,2011-2012
Manchester City,Sunderland,3,3,D,2011-2012
Queens Park Rangers,Arsenal,2,1,H,2011-2012
Wigan Athletic,Stoke City,2,0,H,2011-2012
Wolverhampton Wanderers,Bolton Wanderers,2,3,A,2011-2012
Newcastle United,Liverpool,2,0,H,2011-2012
Tottenham Hotspur,Swansea City,3,1,H,2011-2012
Blackburn Rovers,Manchester United,0,2,A,2011-2012
Swansea City,Newcastle United,0,2,A,2011-2012
Sunderland,Tottenham Hotspur,0,0,D,2011-2012
Bolton Wanderers,Fulham,0,3,A,2011-2012
Chelsea,Wigan Athletic,2,1,H,2011-2012
Liverpool,Aston Villa,1,1,D,2011-2012
Norwich City,Everton,2,2,D,2011-2012
West Bromwich Albion,Blackburn Rovers,3,0,H,2011-2012
Stoke City,Wolverhampton Wanderers,2,1,H,2011-2012
Manchester United,Queens Park Rangers,2,0,H,2011-2012
Arsenal,Manchester City,1,0,H,2011-2012
Everton,Sunderland,4,0,H,2011-2012
Newcastle United,Bolton Wanderers,2,0,H,2011-2012
Tottenham Hotspur,Norwich City,1,2,A,2011-2012
Aston Villa,Stoke City,1,1,D,2011-2012
Fulham,Chelsea,1,1,D,2011-2012
Blackburn Rovers,Liverpool,2,3,A,2011-2012
Manchester City,West Bromwich Albion,4,0,H,2011-2012
Wigan Athletic,Manchester United,1,0,H,2011-2012
Wolverhampton Wanderers,Arsenal,0,3,A,2011-2012
Queens Park Rangers,Swansea City,3,0,H,2011-2012
Norwich City,Manchester City,1,6,A,2011-2012
Sunderland,Wolverhampton Wanderers,0,0,D,2011-2012
Swansea City,Blackburn Rovers,3,0,H,2011-2012
West Bromwich Albion,Queens Park Rangers,1,0,H,2011-2012
Manchester United,Aston Villa,4,0,H,2011-2012
Arsenal,Wigan Athletic,1,2,A,2011-2012
Arsenal,Chelsea,0,0,D,2011-2012
Aston Villa,Sunderland,0,0,D,2011-2012
Blackburn Rovers,Norwich City,2,0,H,2011-2012
Bolton Wanderers,Swansea City,1,1,D,2011-2012
Fulham,Wigan Athletic,2,1,H,2011-2012
Newcastle United,Stoke City,3,0,H,2011-2012
Queens Park Rangers,Tottenham Hotspur,1,0,H,2011-2012
Manchester United,Everton,4,4,D,2011-2012
Liverpool,West Bromwich Albion,0,1,A,2011-2012
Wolverhampton Wanderers,Manchester City,0,2,A,2011-2012
Aston Villa,Bolton Wanderers,1,2,A,2011-2012
Everton,Fulham,4,0,H,2011-2012
Stoke City,Arsenal,1,1,D,2011-2012
Sunderland,Bolton Wanderers,2,2,D,2011-2012
Swansea City,Wolverhampton Wanderers,4,4,D,2011-2012
West Bromwich Albion,Aston Villa,0,0,D,2011-2012
Wigan Athletic,Newcastle United,4,0,H,2011-2012
Norwich City,Liverpool,0,3,A,2011-2012
Chelsea,Queens Park Rangers,6,1,H,2011-2012
Tottenham Hotspur,Blackburn Rovers,2,0,H,2011-2012
Manchester City,Manchester United,1,0,H,2011-2012
Liverpool,Fulham,0,1,A,2011-2012
Stoke City,Everton,1,1,D,2011-2012
Chelsea,Newcastle United,0,2,A,2011-2012
Bolton Wanderers,Tottenham Hotspur,1,4,A,2011-2012
Arsenal,Norwich City,3,3,D,2011-2012
Newcastle United,Manchester City,0,2,A,2011-2012
Aston Villa,Tottenham Hotspur,1,1,D,2011-2012
Bolton Wanderers,West Bromwich Albion,2,2,D,2011-2012
Fulham,Sunderland,2,1,H,2011-2012
Queens Park Rangers,Stoke City,1,0,H,2011-2012
Wolverhampton Wanderers,Everton,0,0,D,2011-2012
Manchester United,Swansea City,2,0,H,2011-2012
Blackburn Rovers,Wigan Athletic,0,1,A,2011-2012
Liverpool,Chelsea,4,1,H,2011-2012
Chelsea,Blackburn Rovers,2,1,H,2011-2012
Everton,Newcastle United,3,1,H,2011-2012
Manchester City,Queens Park Rangers,3,2,H,2011-2012
Norwich City,Aston Villa,2,0,H,2011-2012
Stoke City,Bolton Wanderers,2,2,D,2011-2012
Sunderland,Manchester United,0,1,A,2011-2012
Swansea City,Liverpool,1,0,H,2011-2012
Tottenham Hotspur,Fulham,2,0,H,2011-2012
West Bromwich Albion,Arsenal,2,3,A,2011-2012
Wigan Athletic,Wolverhampton Wanderers,3,2,H,2011-2012
Arsenal,Sunderland,0,0,D,2012-2013
Fulham,Norwich City,5,0,H,2012-2013
Queens Park Rangers,Swansea City,0,5,A,2012-2013
Reading,Stoke City,1,1,D,2012-2013
West Bromwich Albion,Liverpool,3,0,H,2012-2013
West Ham United,Aston Villa,1,0,H,2012-2013
Newcastle United,Tottenham Hotspur,2,1,H,2012-2013
Wigan Athletic,Chelsea,0,2,A,2012-2013
Manchester City,Southampton,3,2,H,2012-2013
Everton,Manchester United,1,0,H,2012-2013
Chelsea,Reading,4,2,H,2012-2013
Swansea City,West Ham United,3,0,H,2012-2013
Aston Villa,Everton,1,3,A,2012-2013
Manchester United,Fulham,3,2,H,2012-2013
Norwich City,Queens Park Rangers,1,1,D,2012-2013
Southampton,Wigan Athletic,0,2,A,2012-2013
Tottenham Hotspur,West Bromwich Albion,1,1,D,2012-2013
Chelsea,Newcastle United,2,0,H,2012-2013
Stoke City,Arsenal,0,0,D,2012-2013
Liverpool,Manchester City,2,2,D,2012-2013
West Ham United,Fulham,3,0,H,2012-2013
Swansea City,Sunderland,2,2,D,2012-2013
Tottenham Hotspur,Norwich City,1,1,D,2012-2013
West Bromwich Albion,Everton,2,0,H,2012-2013
Wigan Athletic,Stoke City,2,2,D,2012-2013
Manchester City,Queens Park Rangers,3,1,H,2012-2013
Liverpool,Arsenal,0,2,A,2012-2013
Newcastle United,Aston Villa,1,1,D,2012-2013
Southampton,Manchester United,2,3,A,2012-2013
Norwich City,West Ham United,0,0,D,2012-2013
Arsenal,Southampton,6,1,H,2012-2013
Aston Villa,Swansea City,2,0,H,2012-2013
Fulham,West Bromwich Albion,3,0,H,2012-2013
Manchester United,Wigan Athletic,4,0,H,2012-2013
Queens Park Rangers,Chelsea,0,0,D,2012-2013
Stoke City,Manchester City,1,1,D,2012-2013
Sunderland,Liverpool,1,1,D,2012-2013
Reading,Tottenham Hotspur,1,3,A,2012-2013
Everton,Newcastle United,2,2,D,2012-2013
Swansea City,Everton,0,3,A,2012-2013
Chelsea,Stoke City,1,0,H,2012-2013
Southampton,Aston Villa,4,1,H,2012-2013
West Bromwich Albion,Reading,1,0,H,2012-2013
West Ham United,Sunderland,1,1,D,2012-2013
Wigan Athletic,Fulham,1,2,A,2012-2013
Liverpool,Manchester United,1,2,A,2012-2013
Newcastle United,Norwich City,1,0,H,2012-2013
Manchester City,Arsenal,1,1,D,2012-2013
Tottenham Hotspur,Queens Park Rangers,2,1,H,2012-2013
Arsenal,Chelsea,1,2,A,2012-2013
Everton,Southampton,3,1,H,2012-2013
Fulham,Manchester City,1,2,A,2012-2013
Norwich City,Liverpool,2,5,A,2012-2013
Reading,Newcastle United,2,2,D,2012-2013
Stoke City,Swansea City,2,0,H,2012-2013
Sunderland,Wigan Athletic,1,0,H,2012-2013
Manchester United,Tottenham Hotspur,2,3,A,2012-2013
Aston Villa,West Bromwich Albion,1,1,D,2012-2013
Queens Park Rangers,West Ham United,1,2,A,2012-2013
Manchester City,Sunderland,3,0,H,2012-2013
Chelsea,Norwich City,4,1,H,2012-2013
Swansea City,Reading,2,2,D,2012-2013
West Bromwich Albion,Queens Park Rangers,3,2,H,2012-2013
Wigan Athletic,Everton,2,2,D,2012-2013
West Ham United,Arsenal,1,3,A,2012-2013
Southampton,Fulham,2,2,D,2012-2013
Liverpool,Stoke City,0,0,D,2012-2013
Tottenham Hotspur,Aston Villa,2,0,H,2012-2013
Newcastle United,Manchester United,0,3,A,2012-2013
Tottenham Hotspur,Chelsea,2,4,A,2012-2013
Fulham,Aston Villa,1,0,H,2012-2013
Liverpool,Reading,1,0,H,2012-2013
Manchester United,Stoke City,4,2,H,2012-2013
Swansea City,Wigan Athletic,2,1,H,2012-2013
West Bromwich Albion,Manchester City,1,2,A,2012-2013
West Ham United,Southampton,4,1,H,2012-2013
Norwich City,Arsenal,1,0,H,2012-2013
Sunderland,Newcastle United,1,1,D,2012-2013
Queens Park Rangers,Everton,1,1,D,2012-2013
Aston Villa,Norwich City,1,1,D,2012-2013
Arsenal,Queens Park Rangers,1,0,H,2012-2013
Reading,Fulham,3,3,D,2012-2013
Stoke City,Sunderland,0,0,D,2012-2013
Wigan Athletic,West Ham United,2,1,H,2012-2013
Manchester City,Swansea City,1,0,H,2012-2013
Everton,Liverpool,2,2,D,2012-2013
Newcastle United,West Bromwich Albion,2,1,H,2012-2013
Southampton,Tottenham Hotspur,1,2,A,2012-2013
Chelsea,Manchester United,2,3,A,2012-2013
Manchester United,Arsenal,2,1,H,2012-2013
Fulham,Everton,2,2,D,2012-2013
Norwich City,Stoke City,1,0,H,2012-2013
Sunderland,Aston Villa,0,1,A,2012-2013
Swansea City,Chelsea,1,1,D,2012-2013
Tottenham Hotspur,Wigan Athletic,0,1,A,2012-2013
West Ham United,Manchester City,0,0,D,2012-2013
Queens Park Rangers,Reading,1,1,D,2012-2013
Liverpool,Newcastle United,1,1,D,2012-2013
West Bromwich Albion,Southampton,2,0,H,2012-2013
Arsenal,Fulham,3,3,D,2012-2013
Everton,Sunderland,2,1,H,2012-2013
Reading,Norwich City,0,0,D,2012-2013
Southampton,Swansea City,1,1,D,2012-2013
Stoke City,Queens Park Rangers,1,0,H,2012-2013
Wigan Athletic,West Bromwich Albion,1,2,A,2012-2013
Aston Villa,Manchester United,2,3,A,2012-2013
Manchester City,Tottenham Hotspur,2,1,H,2012-2013
Newcastle United,West Ham United,0,1,A,2012-2013
Chelsea,Liverpool,1,1,D,2012-2013
Arsenal,Tottenham Hotspur,5,2,H,2012-2013
Liverpool,Wigan Athletic,3,0,H,2012-2013
Manchester City,Aston Villa,5,0,H,2012-2013
Newcastle United,Swansea City,1,2,A,2012-2013
Queens Park Rangers,Southampton,1,3,A,2012-2013
Reading,Everton,2,1,H,2012-2013
West Bromwich Albion,Chelsea,2,1,H,2012-2013
Norwich City,Manchester United,1,0,H,2012-2013
Fulham,Sunderland,1,3,A,2012-2013
West Ham United,Stoke City,1,1,D,2012-2013
Sunderland,West Bromwich Albion,2,4,A,2012-2013
Everton,Norwich City,1,1,D,2012-2013
Manchester United,Queens Park Rangers,3,1,H,2012-2013
Stoke City,Fulham,1,0,H,2012-2013
Wigan Athletic,Reading,3,2,H,2012-2013
Aston Villa,Arsenal,0,0,D,2012-2013
Swansea City,Liverpool,0,0,D,2012-2013
Southampton,Newcastle United,2,0,H,2012-2013
Chelsea,Manchester City,0,0,D,2012-2013
Tottenham Hotspur,West Ham United,3,1,H,2012-2013
Sunderland,Queens Park Rangers,0,0,D,2012-2013
Aston Villa,Reading,1,0,H,2012-2013
Chelsea,Fulham,0,0,D,2012-2013
Everton,Arsenal,1,1,D,2012-2013
Southampton,Norwich City,1,1,D,2012-2013
Stoke City,Newcastle United,2,1,H,2012-2013
Swansea City,West Bromwich Albion,3,1,H,2012-2013
Tottenham Hotspur,Liverpool,2,1,H,2012-2013
Manchester United,West Ham United,1,0,H,2012-2013
Wigan Athletic,Manchester City,0,2,A,2012-2013
West Ham United,Chelsea,3,1,H,2012-2013
Arsenal,Swansea City,0,2,A,2012-2013
Fulham,Tottenham Hotspur,0,3,A,2012-2013
Liverpool,Southampton,1,0,H,2012-2013
Manchester City,Everton,1,1,D,2012-2013
Queens Park Rangers,Aston Villa,1,1,D,2012-2013
West Bromwich Albion,Stoke City,0,1,A,2012-2013
Reading,Manchester United,3,4,A,2012-2013
Norwich City,Sunderland,2,1,H,2012-2013
Newcastle United,Wigan Athletic,3,0,H,2012-2013
Arsenal,West Bromwich Albion,2,0,H,2012-2013
Aston Villa,Stoke City,0,0,D,2012-2013
Southampton,Reading,1,0,H,2012-2013
Sunderland,Chelsea,1,3,A,2012-2013
Swansea City,Norwich City,3,4,A,2012-2013
Wigan Athletic,Queens Park Rangers,2,2,D,2012-2013
Manchester City,Manchester United,2,3,A,2012-2013
Everton,Tottenham Hotspur,2,1,H,2012-2013
West Ham United,Liverpool,2,3,A,2012-2013
Fulham,Newcastle United,2,1,H,2012-2013
Sunderland,Reading,3,0,H,2012-2013
Newcastle United,Manchester City,1,3,A,2012-2013
Liverpool,Aston Villa,1,3,A,2012-2013
Manchester United,Sunderland,3,1,H,2012-2013
Norwich City,Wigan Athletic,2,1,H,2012-2013
Queens Park Rangers,Fulham,2,1,H,2012-2013
Stoke City,Everton,1,1,D,2012-2013
Tottenham Hotspur,Swansea City,1,0,H,2012-2013
West Bromwich Albion,West Ham United,0,0,D,2012-2013
Reading,Arsenal,2,5,A,2012-2013
Wigan Athletic,Arsenal,0,1,A,2012-2013
Manchester City,Reading,1,0,H,2012-2013
Newcastle United,Queens Park Rangers,1,0,H,2012-2013
Southampton,Sunderland,0,1,A,2012-2013
Tottenham Hotspur,Stoke City,0,0,D,2012-2013
West Bromwich Albion,Norwich City,2,1,H,2012-2013
West Ham United,Everton,1,2,A,2012-2013
Liverpool,Fulham,4,0,H,2012-2013
Swansea City,Manchester United,1,1,D,2012-2013
Chelsea,Aston Villa,8,0,H,2012-2013
Everton,Wigan Athletic,2,1,H,2012-2013
Fulham,Southampton,1,1,D,2012-2013
Manchester United,Newcastle United,4,3,H,2012-2013
Norwich City,Chelsea,0,1,A,2012-2013
Queens Park Rangers,West Bromwich Albion,1,2,A,2012-2013
Reading,Swansea City,0,0,D,2012-2013
Sunderland,Manchester City,1,0,H,2012-2013
Aston Villa,Tottenham Hotspur,0,4,A,2012-2013
Stoke City,Liverpool,3,1,H,2012-2013
Sunderland,Tottenham Hotspur,1,2,A,2012-2013
Aston Villa,Wigan Athletic,0,3,A,2012-2013
Fulham,Swansea City,1,2,A,2012-2013
Manchester United,West Bromwich Albion,2,0,H,2012-2013
Norwich City,Manchester City,3,4,A,2012-2013
Reading,West Ham United,1,0,H,2012-2013
Stoke City,Southampton,3,3,D,2012-2013
Arsenal,Newcastle United,7,3,H,2012-2013
Everton,Chelsea,1,2,A,2012-2013
Queens Park Rangers,Liverpool,0,3,A,2012-2013
West Bromwich Albion,Fulham,1,2,A,2012-2013
Manchester City,Stoke City,3,0,H,2012-2013
Swansea City,Aston Villa,2,2,D,2012-2013
Tottenham Hotspur,Reading,3,1,H,2012-2013
West Ham United,Norwich City,2,1,H,2012-2013
Wigan Athletic,Manchester United,0,4,A,2012-2013
Southampton,Arsenal,1,1,D,2012-2013
Chelsea,Queens Park Rangers,0,1,A,2012-2013
Liverpool,Sunderland,3,0,H,2012-2013
Newcastle United,Everton,1,2,A,2012-2013
Queens Park Rangers,Tottenham Hotspur,0,0,D,2012-2013
Aston Villa,Southampton,0,1,A,2012-2013
Everton,Swansea City,0,0,D,2012-2013
Fulham,Wigan Athletic,1,1,D,2012-2013
Norwich City,Newcastle United,0,0,D,2012-2013
Reading,West Bromwich Albion,3,2,H,2012-2013
Stoke City,Chelsea,0,4,A,2012-2013
Sunderland,West Ham United,3,0,H,2012-2013
Manchester United,Liverpool,2,1,H,2012-2013
Arsenal,Manchester City,0,2,A,2012-2013
Chelsea,Southampton,2,2,D,2012-2013
Liverpool,Norwich City,5,0,H,2012-2013
Manchester City,Fulham,2,0,H,2012-2013
Newcastle United,Reading,1,2,A,2012-2013
Swansea City,Stoke City,3,1,H,2012-2013
West Ham United,Queens Park Rangers,1,1,D,2012-2013
Wigan Athletic,Sunderland,2,3,A,2012-2013
West Bromwich Albion,Aston Villa,2,2,D,2012-2013
Chelsea,Arsenal,2,1,H,2012-2013
Tottenham Hotspur,Manchester United,1,1,D,2012-2013
Southampton,Everton,0,0,D,2012-2013
Arsenal,West Ham United,5,1,H,2012-2013
Aston Villa,Newcastle United,1,2,A,2012-2013
Queens Park Rangers,Manchester City,0,0,D,2012-2013
Stoke City,Wigan Athletic,2,2,D,2012-2013
Sunderland,Swansea City,0,0,D,2012-2013
Arsenal,Liverpool,2,2,D,2012-2013
Everton,West Bromwich Albion,2,1,H,2012-2013
Norwich City,Tottenham Hotspur,1,1,D,2012-2013
Fulham,West Ham United,3,1,H,2012-2013
Manchester United,Southampton,2,1,H,2012-2013
Reading,Chelsea,2,2,D,2012-2013
Queens Park Rangers,Norwich City,0,0,D,2012-2013
Arsenal,Stoke City,1,0,H,2012-2013
Everton,Aston Villa,3,3,D,2012-2013
Newcastle United,Chelsea,3,2,H,2012-2013
Reading,Sunderland,2,1,H,2012-2013
West Ham United,Swansea City,1,0,H,2012-2013
Wigan Athletic,Southampton,2,2,D,2012-2013
Fulham,Manchester United,0,1,A,2012-2013
West Bromwich Albion,Tottenham Hotspur,0,1,A,2012-2013
Manchester City,Liverpool,2,2,D,2012-2013
Tottenham Hotspur,Newcastle United,2,1,H,2012-2013
Chelsea,Wigan Athletic,4,1,H,2012-2013
Norwich City,Fulham,0,0,D,2012-2013
Stoke City,Reading,2,1,H,2012-2013
Sunderland,Arsenal,0,1,A,2012-2013
Swansea City,Queens Park Rangers,4,1,H,2012-2013
Southampton,Manchester City,3,1,H,2012-2013
Aston Villa,West Ham United,2,1,H,2012-2013
Manchester United,Everton,2,0,H,2012-2013
Liverpool,West Bromwich Albion,0,2,A,2012-2013
Liverpool,Swansea City,5,0,H,2012-2013
Fulham,Stoke City,1,0,H,2012-2013
Arsenal,Aston Villa,2,1,H,2012-2013
Norwich City,Everton,2,1,H,2012-2013
Queens Park Rangers,Manchester United,0,2,A,2012-2013
Reading,Wigan Athletic,0,3,A,2012-2013
West Bromwich Albion,Sunderland,2,1,H,2012-2013
Manchester City,Chelsea,2,0,H,2012-2013
Newcastle United,Southampton,4,2,H,2012-2013
West Ham United,Tottenham Hotspur,2,3,A,2012-2013
Chelsea,West Bromwich Albion,1,0,H,2012-2013
Everton,Reading,3,1,H,2012-2013
Manchester United,Norwich City,4,0,H,2012-2013
Southampton,Queens Park Rangers,1,2,A,2012-2013
Stoke City,West Ham United,0,1,A,2012-2013
Sunderland,Fulham,2,2,D,2012-2013
Swansea City,Newcastle United,1,0,H,2012-2013
Wigan Athletic,Liverpool,0,4,A,2012-2013
Tottenham Hotspur,Arsenal,2,1,H,2012-2013
Aston Villa,Manchester City,0,1,A,2012-2013
Norwich City,Southampton,0,0,D,2012-2013
Queens Park Rangers,Sunderland,3,1,H,2012-2013
Reading,Aston Villa,1,2,A,2012-2013
West Bromwich Albion,Swansea City,2,1,H,2012-2013
Newcastle United,Stoke City,2,1,H,2012-2013
Liverpool,Tottenham Hotspur,3,2,H,2012-2013
Everton,Manchester City,2,0,H,2012-2013
Aston Villa,Queens Park Rangers,3,2,H,2012-2013
Southampton,Liverpool,3,1,H,2012-2013
Stoke City,West Bromwich Albion,0,0,D,2012-2013
Swansea City,Arsenal,0,2,A,2012-2013
Manchester United,Reading,1,0,H,2012-2013
Sunderland,Norwich City,1,1,D,2012-2013
Tottenham Hotspur,Fulham,0,1,A,2012-2013
Chelsea,West Ham United,2,0,H,2012-2013
Wigan Athletic,Newcastle United,2,1,H,2012-2013
Sunderland,Manchester United,0,1,A,2012-2013
Arsenal,Reading,4,1,H,2012-2013
